10,10,9,7,13,8,8,11,76,19.0,32.0,22.66,26.0,16.0,18.0,18.66,14.66,86.66,100.0,87.2345,A,82,83,80,81
18,10,10,7,16,8,3,9,81,16.0,32.0,27.0,24.0,20.0,20.0,20.0,20.0,95.33,100.0,93.407,C,43,98,47,74
12,10,8,8,13,10,10,11,82,20.0,28.0,20.0,28.0,20.0,16.0,18.66,16.0,72.0,100.0,81.2985,C-,70,68,51,89
16,6,8,8,10,8,10,11,77,14.66,32.0,26.66,24.0,22.66,20.0,18.66,20.0,84.0,0,73.794,C+,40,81,53,75
16,3,10,8,10,7,4,5,63,20.0,20.0,20.0,23.33,16.0,14.66,16.0,20.0,75.0,0,63.74775,A-,48,90,60,71
16,8,6,10,13,10,10,11,84,16.0,32.0,28.0,32.0,24.0,20.0,20.0,20.0,87.0,20.0,81,B,44,86,64,69
12,7,10,7,15,10,8,8,77,20.0,32.0,28.0,28.0,24.0,16.0,18.66,18.66,77.0,60.0,81.497,C+,44,72,60,77
16,8,10,10,14,10,9,9,86,16.0,32.0,20.0,26.0,24.0,20.0,18.66,20.0,80.66,90.0,85.5125,B-,69,97,81,81
18,10,10,10,14,10,10,9,91,19.0,28.0,24.0,24.0,22.0,18.66,20.0,20.0,95.0,100.0,92.5235,A-,78,95,73,79
14,10,10,7,14,10,10,8,83,20.0,28.0,28.0,32.0,20.0,16.0,20.0,14.66,88.0,100.0,90.3985,A,78,84,86,89
14,5,10,10,17,8,10,8,82,19.0,32.0,28.0,32.0,20.0,16.0,20.0,20.0,96.0,100.0,95.475,A,70,100,67,77
18,7,10,10,14,8,8,8,83,11.0,32.0,31.0,30.0,24.0,20.0,16.0,20.0,93.32,80.0,90.728,A,82,79,61,80
12,0,10,10,20,8,9,6,75,20.0,28.0,19.0,28.0,16.0,20.0,20.0,20.0,80.0,0,70.475,C-,41,69,58,76
16,5,9,9,17,9,10,11,86,20.0,32.0,32.0,30.0,24.0,20.0,20.0,20.0,88.0,100.0,94.75,A-,77,87,88,76
16,10,10,4,19,9,10,12,90,20.0,32.0,32.0,32.0,24.0,20.0,20.0,20.0,97.66,50.0,91.564,C,61,86,76,67
18,5,10,10,12,8,0,8,71,19.0,28.0,24.0,32.0,20.0,15.0,20.0,20.0,90.66,100.0,91.314,C-,65,82,67,79
14,8,7,10,14,8,10,11,82,20.0,32.0,32.0,32.0,24.0,16.0,19.0,20.0,88.0,100.0,94.075,B+,52,84,77,55
16,10,10,10,20,9,9,5,89,20.0,31.0,32.0,32.0,24.0,20.0,16.0,20.0,88.0,100.0,94.075,D,60,81,82,63
18,8,7,10,20,8,3,11,85,19.0,20.0,27.0,32.0,24.0,20.0,20.0,16.0,92.0,0,76.85,A,76,79,78,78
18,10,9,10,20,10,10,9,96,19.0,32.0,24.0,26.0,20.0,18.0,20.0,20.0,84.0,50.0,81.375,B,65,69,72,69
18,5,8,10,15,10,8,8,82,20.0,32.0,32.0,32.0,24.0,20.0,20.0,20.0,92.0,100.0,96.8,B-,78,86,68,87
16,8,9,7,14,1,10,6,71,19.0,32.0,31.0,32.0,24.0,20.0,20.0,20.0,84.0,100.0,93.15,A-,83,100,90,90
14,7,10,10,17,9,10,5,82,19.0,32.0,31.0,31.0,24.0,20.0,20.0,20.0,94.66,100.0,97.189,B+,74,100,81,90
12,8,5,7,19,9,10,8,78,17.33,32.0,28.0,32.0,24.0,20.0,20.0,20.0,92.0,100.0,95.29925,C+,64,89,61,83
18,10,10,10,19,10,9,11,97,20.0,32.0,31.0,28.0,24.0,20.0,20.0,20.0,91.0,100.0,95.275,A-,80,98,88,92
16,8,10,10,20,8,10,11,93,20.0,32.0,32.0,32.0,24.0,20.0,20.0,20.0,100.0,100.0,100,B-,68,98,74,90
18,8,8,10,19,10,9,8,90,20.0,28.0,28.0,32.0,20.0,20.0,20.0,20.0,92.0,100.0,94.1,A,73,100,91,86
18,10,5,10,15,8,9,11,86,20.0,32.0,30.66,32.0,20.0,20.0,20.0,20.0,83.99,100.0,92.3945,A-,72,98,61,91
18,8,9,10,20,10,10,12,97,16.0,32.0,23.0,28.0,24.0,20.0,16.0,20.0,93.32,80.0,89.603,A,69,97,77,83
18,10,4,9,10,8,10,8,77,20.0,32.0,31.0,28.0,24.0,20.0,20.0,20.0,76.0,100.0,89.275,B+,78,100,69,85
16,5,10,8,14,8,10,9,80,20.0,28.0,29.0,32.0,24.0,20.0,16.0,16.0,90.0,100.0,92.625,A-,64,100,69,85
10,10,10,7,20,8,9,11,85,16.0,28.0,24.0,30.0,16.0,16.0,12.0,20.0,71.0,100.0,79.85,A,64,78,79,83
18,10,6,8,19,10,10,11,92,20.0,28.0,32.0,31.0,24.0,20.0,18.0,20.0,100.0,100.0,98.425,A-,82,100,73,79
16,10,10,7,15,10,9,11,88,20.0,32.0,32.0,28.0,24.0,20.0,20.0,20.0,90.66,10.0,81.864,C+,39,70,75,74
18,10,10,10,15,8,9,12,92,20.0,32.0,32.0,28.0,24.0,20.0,20.0,18.66,85.98,100.0,93.1905,B-,43,75 ,91 ,73 
14,10,7,7,20,7,8,6,79,17.0,32.0,30.66,26.0,16.0,20.0,20.0,16.0,100.0,100.0,94.9735,B-,34,100 ,43 ,87 
14,5,7,10,11,8,6,8,69,15.0,28.0,24.0,28.0,20.0,12.0,20.0,20.0,80.0,100.0,84.575,B,78,93 ,69 ,83 
16,8,9,10,13,8,4,6,74,20.0,32.0,20.0,24.0,20.0,18.66,16.0,20.0,87.0,100.0,88.1985,A,75,83 ,71 ,86 
18,10,5,7,8,8,8,6,70,20.0,32.0,24.0,24.0,16.0,16.0,18.0,20.0,88.0,100.0,88.45,A,77,80 ,77 ,93 
12,10,10,7,14,8,10,6,77,12.0,25.0,20.0,16.0,16.0,16.0,16.0,13.33,62.66,100.0,70.28825,A,77,82 ,63 ,89 
18,10,10,7,20,8,9,9,91,20.0,32.0,32.0,32.0,24.0,20.0,20.0,20.0,77.33,70.0,86.432,A-,83,100 ,88 ,88 
14,3,10,6,10,8,10,9,70,7.0,32.0,23.0,18.0,24.0,8.0,14.0,20.0,70.66,100.0,76.114,C,74,91 ,81 ,63 
16,7,10,7,14,7,9,9,79,17.0,32.0,24.0,30.0,4.0,8.0,17.32,20.0,81.99,100.0,82.068,B,78,97 ,51 ,71 
12,7,10,10,10,4,7,11,71,15.0,32.0,26.66,27.0,24.0,20.0,20.0,20.0,91.0,50.0,85.4485,A-,61,100,85,89
14,10,7,9,9,8,6,8,71,20.0,32.0,32.0,32.0,24.0,20.0,20.0,20.0,90.66,90.0,94.764,A,76,100,86,88
18,10,10,5,19,8,10,11,91,20.0,32.0,32.0,32.0,24.0,20.0,20.0,20.0,95.0,90.0,96.5,A-,61,100,85,75
16,10,9,10,11,10,10,11,87,19.0,28.0,29.33,28.0,24.0,20.0,20.0,20.0,77.33,90.0,86.80625,A-,81,100,81,74
14,5,9,7,0,7,10,8,60,16.0,28.0,32.0,20.0,24.0,16.0,20.0,20.0,96.0,100.0,93,A-,82,89,79,87
14,10,10,10,19,8,9,6,86,17.0,28.0,32.0,28.0,20.0,16.0,16.0,16.0,92.0,100.0,90.725,A-,79,82,67,85
18,10,10,7,19,8,10,9,91,19.0,28.0,28.0,32.0,24.0,16.0,20.0,20.0,84.0,70.0,86.175,A-,63,88,75,84
16,8,7,10,14,9,7,5,76,20.0,28.0,24.0,28.0,24.0,16.0,16.0,20.0,72.0,100.0,83.4,A,52,79,68,86
16,7,9,10,15,4,2,0,63,20.0,32.0,28.0,32.0,24.0,20.0,20.0,20.0,88.0,100.0,94.3,A-,77,75,70,82
16,10,3,6,15,8,9,5,72,20.0,32.0,32.0,31.0,22.0,16.0,16.0,20.0,98.66,100.0,96.989,A,83,100,87,86
16,10,10,10,19,8,10,9,92,19.0,28.0,32.0,32.0,20.0,20.0,20.0,20.0,88.0,100.0,93.175,A-,87,100,70,74
16,10,9,7,13,2,6,8,71,18.0,32.0,32.0,32.0,20.0,16.0,16.0,16.0,76.0,100.0,86.35,B,74,96,78,47
16,10,8,10,10,8,10,9,81,20.0,32.0,31.0,28.0,24.0,20.0,20.0,20.0,92.0,100.0,95.675,B,84,98,87,84
14,10,3,6,8,10,7,11,69,20.0,32.0,28.0,28.0,24.0,20.0,20.0,20.0,83.0,70.0,86.9,A-,68,98,77,41
8,10,8,10,10,7,4,9,66,14.66,28.0,26.0,24.0,20.0,16.0,14.0,20.0,70.66,100.0,79.8625,A-,69,100,86,70
14,8,7,9,12,9,8,11,78,19.0,32.0,28.0,26.0,20.0,16.0,12.0,20.0,76.0,0,69.325,C+,64,100,71,64
12,6,10,8,12,8,9,5,70,20.0,28.0,28.0,28.0,16.0,20.0,20.0,16.0,92.66,100.0,91.664,B-,64,100,83,77
12,8,3,10,10,5,6,6,60,14.0,28.0,24.0,19.0,18.66,13.33,10.66,20.0,88.66,40.0,74.68525,C,65,95,76,63
